Title,Description,Badge Id
, ,a648817
Cinemas, I love to watch old classic cinemas.,a466233
Hockey, I play hockey,a517165
Volunteering,I like to volunteer with Fidelity Cares,a521494
Racing, I used to like F1 racing in early days,a831758
Cricket, My favorite sport is Cricket.,a629221
Horror Movies,I love horror movies,a600558
Fitness,Loves fitness,a573451
Left-Handed,He is left-handed,a373004
,,a523281
Social Media,He is not on social media,a627390
Birthday, First birthday was in London.,a688707
Music, I play the ukelele!,a647813
Food, My favorite food is a breakfast taco!,a789098
Talent, I can solve a rubiks cube in 20 seconds.,a662344
Swim Activity, I am a certified Scuba Diver!,a201678
, ,a345678
, ,
